Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-30189-2023","2023-06-21 15:46:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","6051437","169.88","169.88","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","EXQUISITE LIVING RESIDENCES"
"102-30190-2023","2023-06-21 17:27:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","617000","69.55","69.55","1 B/R","1","","","IMG World Adventures","1","1","","Time 2"
"102-30191-2023","2023-06-21 17:28:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","525000","39.49","39.49","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","ELEVATE by Prescott"
"102-30192-2023","2023-06-21 17:29:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","628000","69.55","69.55","1 B/R","1","","","IMG World Adventures","1","1","","Time 2"
"102-30193-2023","2023-06-21 17:37:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","2390888","270.61","270.61","4 B/R","","","","","2","1","","MAHA TOWNHOUSES "
"102-30194-2023","2023-06-21 17:43:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","1920888","172.63","172.63","3 B/R","","","","","2","1","","MAHA TOWNHOUSES "
"102-30195-2023","2023-06-21 17:44:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","1950888","172.63","172.63","3 B/R","","","","","1","1","","MAHA TOWNHOUSES "
"102-30196-2023","2023-06-21 17:45:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","1961888","176.9","176.9","3 B/R","","","","","1","1","","MAHA TOWNHOUSES "
"102-30197-2023","2023-06-21 17:46:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","1957888","174","174","3 B/R","","","","","1","1","","MAHA TOWNHOUSES "
"102-30198-2023","2023-06-21 17:47:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","2360888","253.21","253.21","4 B/R","","","","","2","1","","MAHA TOWNHOUSES "
"102-30199-2023","2023-06-21 19:31:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","THE FIELD","Building","Villa","3671777","187.18","187.18","4 B/R","","","","IMG World Adventures","0","1","","THE FIELDS AT D11 - MBRMC"
"102-30200-2023","2023-06-21 19:32:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1538888","65.24","65.24","1 B/R","1","Noor Bank Metro Station","Mall of the Emirates","IMG World Adventures","0","1","","Golf Grand"
"102-30201-2023","2023-06-21 19:32:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Hotel Rooms","455888","29.08","29.08","Studio","EU","Damac Properties","Marina Mall","Sports City Swimming Academy","0","1","","The Community"
"102-30202-2023","2023-06-21 19:32:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","472380","36.36","36.36","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","1","","Seslia Tower"
"102-30203-2023","2023-06-21 19:33:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1558000","74.41","74.41","1 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","1","","HARBOUR LIGHTS"
"102-30204-2023","2023-06-21 19:34:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Hotel Rooms","429888","28.7","28.7","Studio","EU","Damac Properties","Marina Mall","Sports City Swimming Academy","0","1","","The Community"
