Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-42162-2023","2023-08-25 11:45:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","4401888","453.57","453.57","5 B/R","","","","","2","1","","The Valley - Rivana"
"102-42163-2023","2023-08-25 11:45:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH GOLF","Building","Villa","4756777","273.48","273.48","3 B/R","","Damac Properties","Ibn-e-Battuta Mall","Sports City Swimming Academy","1","1","","JASMINE LANE"
"102-42164-2023","2023-08-25 11:45:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2178000","70.92","70.92","1 B/R","1","","","","3","1","","Thyme"
"102-42165-2023","2023-08-25 11:45:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3124000","254.42","254.42","4 B/R","","","","","1","1","","Mudon Al Ranim 6"
"102-42166-2023","2023-08-25 11:45:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3340888","322.27","322.27","4 B/R","","","","","1","1","","The Valley - Rivana"
"102-42167-2023","2023-08-25 11:46:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2232000","71.35","71.35","1 B/R","1","","","","1","1","","Thyme"
"102-42168-2023","2023-08-25 11:46:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","867000","40.16","40.16","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","Fashionz 1 By Danube"
"102-42169-2023","2023-08-25 11:46:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","439200","41.74","41.74","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Azizi Berton"
"102-42170-2023","2023-08-25 11:46:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","3929112","82.96","82.96","1 B/R","1","","","","2","1","","Sobha Seahaven Tower A"
"102-42171-2023","2023-08-25 11:46:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2171000","71.35","71.35","1 B/R","1","","","","1","1","","Thyme"
"102-42172-2023","2023-08-25 11:46:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","626640","65.74","65.74","1 B/R","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","2","1","","Azizi Berton"
"102-42173-2023","2023-08-25 11:46:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","3324000","127.87","127.87","2 B/R","1","","","","1","1","","Thyme"
"102-42174-2023","2023-08-25 11:47:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","391440","35.11","35.11","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Azizi Berton"
"102-42175-2023","2023-08-25 11:47:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2109000","71.35","71.35","1 B/R","1","","","","1","1","","Thyme"
"102-42176-2023","2023-08-25 11:47:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2219626","76.8","76.8","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-42177-2023","2023-08-25 11:47:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","3337000","121.59","121.59","2 B/R","1","","","","2","1","","Thyme"
"102-42178-2023","2023-08-25 11:47:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","428000","41.43","41.43","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Azizi Berton"
"102-42179-2023","2023-08-25 11:47:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","787000","40.24","40.24","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","Fashionz 1 By Danube"
"102-42180-2023","2023-08-25 11:48:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","2536000","136.38","136.38","3 B/R","2","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Fashionz 1 By Danube"
"102-42181-2023","2023-08-25 11:53:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","5972388","135.33","135.33","2 B/R","1","","","","1","1","","Sobha Seahaven Tower A"
"102-42182-2023","2023-08-26 18:59:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 2","Building","Villa","775000","90.64","90.64","2 B/R","","","","IMG World Adventures","0","1","","Bianca "
"102-42183-2023","2023-08-26 19:03:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3317888","314.07","314.07","4 B/R","","","","","0","1","","The Valley - Rivana"
"102-42184-2023","2023-08-26 19:03:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","364000","36.21","36.21","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","1","","Azizi Berton"
"102-42185-2023","2023-08-26 19:04:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","430400","41.43","41.43","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","1","","Azizi Berton"
"102-42186-2023","2023-08-26 19:04:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","860000","40.16","40.16","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","1","","Fashionz 1 By Danube"
"102-42187-2023","2023-08-26 19:07:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2214000","71.45","71.45","1 B/R","1","","","","0","1","","Thyme"
"102-42188-2023","2023-08-26 19:08:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2171000","71.35","71.35","1 B/R","1","","","","0","1","","Thyme"
"102-42189-2023","2023-08-26 19:08:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2125000","77.23","77.23","1 B/R","1","","","","0","1","","Thyme"
"102-42190-2023","2023-08-26 19:08:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2367889","118.91","118.91","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","1","","Sobha Hartland - Crest Grande"
"102-42191-2023","2023-08-26 19:09:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","6623000","192.67","192.67","3 B/R","2","","","","0","1","","Thyme"
"102-42192-2023","2023-08-26 19:09:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2279608","68.83","68.83","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","1","","Society House Downtown Dubai "
"102-42193-2023","2023-08-26 19:09:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2252096.25","98.46","98.46","1 B/R","1","Marina Mall Metro Station","Marina Mall","Sports City Swimming Academy","0","1","","Verde by Sobha"
"102-42194-2023","2023-08-26 19:11:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3326888","324.25","324.25","4 B/R","","","","","0","1","","The Valley - Rivana"
"102-42195-2023","2023-08-26 19:14:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2156713.35","98.46","98.46","1 B/R","1","Marina Mall Metro Station","Marina Mall","Sports City Swimming Academy","0","1","","Verde by Sobha"
"102-42196-2023","2023-08-26 19:15:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","421400","36.91","36.91","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","1","","Azizi Berton"
"102-42197-2023","2023-08-26 19:15:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2971000","272.55","272.55","4 B/R","","","","","0","1","","Mudon Al Ranim 6"
"102-42198-2023","2023-08-26 19:16:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 2","Building","Villa","775000","90.64","90.64","2 B/R","","","","IMG World Adventures","0","1","","Bianca "
"102-42199-2023","2023-08-26 19:18:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2941888","300","300","3 B/R","","","","","0","1","","The Valley - Rivana"
"102-42200-2023","2023-08-26 19:20:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2179000","71.02","71.02","1 B/R","1","","","","0","1","","Thyme"
"102-42201-2023","2023-08-26 19:22:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","633250","65.74","65.74","1 B/R","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","1","","Azizi Berton"
"102-42202-2023","2023-08-26 19:23:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3363888","300.31","300.31","4 B/R","","","","","0","1","","The Valley - Rivana"
"102-42203-2023","2023-08-26 19:23:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","397320","36.88","36.88","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","1","","Azizi Berton"
"102-42204-2023","2023-08-26 19:27:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","373410","36.93","36.93","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","1","","Azizi Berton"
"102-42205-2023","2023-08-26 19:27:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","403040","35.11","35.11","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","1","","Azizi Berton"
"102-42206-2023","2023-08-26 19:29:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3319888","315.78","315.78","4 B/R","","","","","0","1","","The Valley - Rivana"
"102-42207-2023","2023-08-27 22:17:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","439285","41.31","41.31","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Azizi Berton"
"102-42208-2023","2023-08-27 22:22:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","660000","37.88","37.88","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 17"
"102-42209-2023","2023-08-27 22:22:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","557000","37.88","37.88","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 17"
"102-42211-2023","2023-08-27 22:30:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","3121190","105.14","105.14","2 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Creek Waters 2"
"102-42212-2023","2023-08-27 22:34:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","379200","35.12","35.12","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","Azizi Berton"
"102-42213-2023","2023-08-27 22:47:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","3528788","79.96","79.96","1 B/R","1","","","","2","1","","Sobha Seahaven Tower A"
"102-42214-2023","2023-08-27 22:49:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","904000","42.54","42.54","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Fashionz 1 By Danube"
"102-42215-2023","2023-08-27 22:51:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1049819","75.39","75.39","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","The Autograph"
"102-42216-2023","2023-08-27 22:54:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2886000","254.37","254.37","4 B/R","","","","","1","1","","Mudon Al Ranim 6"
"102-42217-2023","2023-08-27 22:55:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1440000","78.9","78.9","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Fashionz 1 By Danube"
"102-42218-2023","2023-08-27 22:57:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","593060.48","38.06","38.06","Studio","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","Pearl House I by Imtiaz"
